Job number,Brand,Project title,Project description,Client,Start date,Delivery date,Actioned by,Status update,PPI job reference
51,Kings,Branded merchandise,"Creat range of branded materials for resale (and agent giveaways) including t-shirts, hoodies, badges, folders, pens, etc, etc",AG,19/06/2009,30/09/2009,JA, Look at companies like Howies.,
211,Kings,Student handbook,pdf to email/download,AH,17/09/2010,31/10/2010,JA/AG,,
287,Kings,Wall art,,AM,,,WMS,JA email AM,
291,Kings,College notice boards,Physical notice board for the colleges to display images of staff,AG,29/03/2011,,EC,"In progress.
Kings London complete
Kings Bournemouth in progress",
395,Prime,Production schedule,Create bespoke job scheduler and online request form,AG,09/01/2012,09/02/2012,JA/WMS,With WH for thoughts,
402,Kings,Overview academic flyer,revised flyer based on overview with USA/UK academic focus only. English and Chinese,AH,13/01/2012,25/01/2012,,,
404,Kings,USA uni partner agreements,Brand and package all agreements together,JF,24/01/2012,,,,
408,Kings,Website V5,To include comprehensive staff intranet,AG,,,,,
414,Kings,Academic test docs for rebrand,,SB/JA,06/02/2012,,JA/EC,,
416,Kings,Video diary (Kings Oxford),Video diary (2 weeks) of Academic student,AG,09/02/2012,09/03/2012,WMS,,
417,Kings,Aims of the College / Vision,The aims of the College translated into many languages. Needs branding,SB,09/02/2012,,EC,,
418,Kings,Rebranded docs v2,A nice home for misc Word documents which need rebranding,AG,09/02/2012,,EC,,
420,Kings,Agent Manual 2012,Electronic and print version,AG,09/02/2012,09/02/2012,EC/JA,EC source print quotes,
433,Kings,China web presence,Assist John Phillips set up blog (Weibo) and China Kings site,JP,05/03/2012,16/03/2012,JA/AG,AG/JA to get Kings China up EOP 9/3,
436,Kings,Certificate of Scholarship,Certificate for Vietnam market. Based on agent cert,NN,20/10/2011,20/04/2012,JA/EC,Waiting on NN for signature,
438,Kings,Summer materials 2012,All branded materials for summer use 2012,CB,15/03/2012,15/06/2012,JA/EC,"Have created shared Google Doc for this
US production?",
444,Kings,STM July 12,Building on Success,AG,09/05/2012,18/05/2012,JA/WMS,"Concept started, to be re-shot and thumbnail imagery added.",
445,Kings,STM Sept 12,,AG,09/05/2012,25/07/2012,JA,,
448,Kings,Art Foundation Invite 2012,Craete materials to advertise 2012 Foundation Art show,JCh,09/05/2012,23/05/2012,EC/JA,,
450,Kings,Phonemic Charts,Design Kings version of the Kings London Phonemic chart for roll out through colleges,AG,03/04/2012,01/09/2012,EC/JA,JA to look at EC progress,
451,Kings,US Pathways comparison,Rebrand doc ,JF,10/04/2012,14/04/2012,,,
453,Kings,Brand repositioning,,AG,01/05/2012,01/10/2012,JA,,
454,Kings,Boston Homestay flyer,,HMC,17/04/2012,17/05/2012,EC,,
457,Kings,English Brochure 2013,,AG,19/04/2012,,AG/JA/EC/WMS,,
458,Kings,English Outer 2013,,AG,19/04/2012,,AG/JA/EC/WMS,,
459,Kings,UK Academic Brochure 2013,,AG,19/04/2012,,AG/JA/EC/WMS,,
460,Kings,UK Academic Outer 2013,,AG,19/04/2012,,AG/JA/EC/WMS,,
461,Kings,USA Academic Brochure 2013-14,,AG,19/04/2012,,AG/JA/EC/WMS,,
462,Kings,USA Academic Outer 2013-14,,AG,19/04/2012,,AG/JA/EC/WMS,,
463,Kings,Summer Brochure 2013,,AG,19/04/2012,,AG/JA/EC/WMS,,
464,Kings,Pre-Masters Brochure 2013-14,,AG,19/04/2012,,AG/JA/EC/WMS,,
465,Kings,Pre-Masters Outer 2013-14,,AG,19/04/2012,,AG/JA/EC/WMS,,
467,Kings,Agent training material,Materials to help train agents understand our courses through handout and PP templates. Web and video too?,JP,20/04/2012,,JA/EC,,
468,Kings,Table-top banners,Mini banners for fairs. Translated in Chinese?,JP,20/04/2012,20/05/2012,JA/EC,,
469,Kings,Kings London hoarding,Coverage for Kings London hoarding. Combination of painted hoarding and printed vinyl (on 4x boards) with branding and artist's impressions,AG,25/04/2012,11/05/2012,JA/EC,Steve Bullen taking photos and initial measurements,
470,Prime,Office signage,New signage and artwork for CMU. Supplier options? Drewett (expensive for travel) or Signmakers (expensive but good). Hmm…,AG,25/04/2012,11/05/2012,JA/EC,AG to ask PBuckfield about wall coverage,
472,Kings,Kings China newsletter,,JP,26/04/2012,,JA,JA and JP to discuss after JA hols,
473,Kings,Alumni 2012/13,Gathering content on alumni students for main brochure materials,AG,26/04/2012,,WMS/EC,,
475,Kings,Malibu factsheet,Factsheet for Pepperdine,AG,01/05/2012,01/05/2012,EC,,
476,Kings,Nigerian marketing materials,"Posters, pdfs and general marketing material. Also, Kings News 'group' interview to be published by WMS",AH/TKD,20/04/2012,15/05/2012,WMS/EC,WMS photographed and interviewed all 20/04/,
480,Kings,Kings Beach Hotel decor,Create some vinyl elements for Kings Beach,DW,08/05/2012,16/05/2012,JA/EC,,
481,Kings,China US brochure outer amends,Edit the outer (for reprint) to answer question the inner doesn't answer,JP,09/05/2012,16/05/2012,JA,Based on JP powerpoint,
482,Kings,UHAK web banner,580 x 240 USA and UK web banner ,KH,05/05/2012,16/05/2012,EC,,
483,Kings,Kings CSR documents,Develop 'identity' for this project,DW/AG,09/05/2012,,AG/JA/EC,,
484,Kings,EDM Korea ads,"2 x ads for agent promo. One single page ad for US academic, one double page spread for UK academic. Full colour, full bleed, A4.",KH,10/05/2012,17/05/2012,EC,,
485,Kings,Bournemouth Parking Sign,NO UNAUTHORISED PARKING – ALL VISITORS MUST REPORT TO RECEPTION (A1),CB,15/05/2012,16/05/2012,EC,,
486,Kings,Summer camp promo,Factsheet with all (UK only?) summer centres for email to agents,EG,21/05/2012,28/05/2012,EC/JA,Waiting for content,
487,Kings,,,,,,,,
488,Kings,Kings Bournemouth graphics,Vinyl graphics and some additional bit for Kings Bournemouth mini-fit,DW,20/05/2012,05/06/2012,EC/JA,,
489,Kings,2013 EFL price sheet,Update prices for temporary use,AG,24/05/2012,25/05/2012,EC/JA,,
490,Kings,Promo Flyers May 2012,Various promo flyers for JC,JC,24/05/2012,30/05/2012,EC,,
491,Kings,Russia promo US pathways,adapt job 386 for email based mailer,DF,24/05/2012,25/05/2012,JA,,
492,Kings,Nigeria ad 2012,Adaptation of job 259,TKD,29/05/2012,01/06/2012,EC/JA,Waiting on address info from Tim,
493,Kings,Agent web promo,"Web poster for agents to place on their websites, advertising all courses",DF,01/06/2012,01/06/2012,JA,,
494,Kings,Kings London signage,Signage for the new build,AG,01/06/2012,01/10/2012,JA,,
