Job number,Brand,Project title,Project description,Client,Start date,Delivery date,Actioned by,Comments,PPI job reference
1,Kings,Kings rebrand,"Research, design and create revised brand for Kings.",AG,02/03/2009,02/05/2009,JA/EC,Style guide in progress. JA to complete V1 for AG approval.,
2,Kings,Staff research document,Design and locally print questionnaire for teachers asking about the Kings brand and what they want to see on the revised website. 30 docs for each centre ,AG,02/03/2009,02/03/2009,JA,,
3,Kings,Turkey promotional flyer,,JF,09/03/2009,11/03/2009,JA,Jose mailed first draft,
4,Kings,Thailand promotional flyer,,KH,09/03/2009,11/03/2009,JA,,
5,Kings,Agent certificates,"Names applied to printed certs, framed and taken to Bournemouth for dispatch",AG,06/03/2009,11/03/2009,WMS,To de delivered,
6,Kings,Diploma certificates,Adapt general Kings cert with graduation info,AG,06/03/2009,15/03/2009,JA,Perfect Print to print litho,
7,Kings,Academic banner,Adapt existing artwork,Simon Fenn,09/03/2009,20/03/2009,JA,Perfect Print to print new or onto existing unit. Also to source solid holders.,
8,Prime,Business cards,NEW Kings cards for Karen Bradley,"KB, T",30/03/2009,08/04/2009,JA,Delivered,
9,Kings,Souvenir document for BSI agents,Record of the day BSI agents spent with AG and WMS in London and Oxford.,AG,09/03/2009,20/03/2009,JA,At print,
10,Kings,Arabic flyer,"Overview of Kings courses to include academic, language and summer courses. Refs to specific points of interest inc payer mats, halal, etc.
",AG,09/03/2009,30/04/2009,JA,,
13,Kings,LTM ad,Celebration and congratulation of 40 year history of StudyWorld with ref to Kings longevity.,AG,09/03/2009,10/03/2009,JA/AG,,
14,Prime,Online Student questionnaire,Create an online form which enables WMS to capture student details and also share photograph galleries with student ''models',WMS,09/03/2009,13/03/2009,JA,Waiting feedback from Nick regarding upload details,
15,Kings,English banner,Resize existing artwork for KH,KH,10/03/2009,10/03/2009,JA,,
16,Prime,Studio,Design and order graphics and presentation boards for studio. Look at shelving unit options. James to design graphics for door and entrance area.,JA,11/03/2009,11/03/2010,JA,Just photography box and brochure display to complete,
17,Kings,1 page summary USP - Academic,Branded summary of key differentators for academic products,AH,11/03/2009,10/04/2009,JA,In market,K/ 0017/ Acad Diff
18,Kings,Alumni document,PDF based doc highlighting current batch of alumni. Based on Photobook template.,AH,02/04/2009,09/04/2009,WMS/JA,With AG for final comments,
19,Kings,Kings Website,"Design and create content for Kings website, CubeWorks to build. Need initial templates designs by 17/4 for first formal meeting.",AG,02/03/2009,25/08/2009,JA/AG/WMS,JA developing v2 templates,
20,Kings,Vietnam educational fair,Create one x flyer and 2 x  ads for fair,KH,18/03/2009,19/03/2009,WMS/JA,,
21,Kings,Country specific promotion flyers,"Based on job 4, create a flyer for Taiwan, Thailand and Japan",KH,23/03/2009,27/03/2009,JA,,
22,Kings,Albania student posters,Focus on alumni and current students,SF,31/03/2009,10/04/2009,JA,,
24,Kings,Ppt presentation ,Powerpoint of 07-08 student uni destinations,AH/SF,30/03/2009,31/03/2009,AG,,
25,Kings,Branded documents,Formal documentation for university partnership development,SB/AH/NN,31/03/2009,31/03/2009,AG,,
26,Kings,Display images for cafeteria,Set of themed prints for London/Bournemouth new cafe area. ,AG,31/03/2009,30/04/2009,WMS,Complete,
27,Kings,CMU letterhead and comp slips,,KB,08/04/2009,29/04/2009,JA,Delivered,
28,Kings,NARP,New Agent Registration branded documents,AH,14/04/2009,21/04/2009,AG,,
29,Kings,Homestay flyer Bournemouth,Flyer to distribute to local houses,DW,14/04/2009,21/04/2009,JA,With DW,
30,Kings,Key contacts,Convert key contacts pages from Agent Manual into one page of A4 for email,AH,15/04/2009,17/04/2009,JA,WMS to shoot KB. This and new shot of Irene (London registrar) to be inserted.,
31,Kings,Art Foundation flyer,Promote new Art Foundation for Sept 09 start. Probably PDF for local printing and email,SF/AH,27/04/2009,05/05/2009,JA/AG,Develop for 12pp for print,
32,Kings,Turkish Alumni pdf,Create bespoke pdf focused on Turkish academic students and alumni,JF,27/04/2009,28/04/2009,WMS,,
33,Kings,Alumni poster set,Finalise set of market-specific alumni posters,AG,27/04/2009,28/04/2009,WMS,,
34,Kings,Direct app form,Update and re-format word doc for direct applications,AG,27/04/2009,28/04/2009,AG,,
35,Kings,Foundation syllabus,Re-brand and update,NN,27/04/2009,29/04/2009,AG,,
36,Kings,Foundation Assessment Handbook,Re-brand and update,NN,27/04/2009,29/04/2009,AG,,
37,Kings,Vacation promo,Single sheet pdf for Vacation course promotion,AH,29/04/2009,05/05/2009,JA,,
38,Kings,Activities template,"Co-ordinated, branded template for use by all activities staff",AH,29/04/2009,01/05/2009,AG,,
40,Kings,"Pro Inter Ed, Thailand advert",Double page ad as per KH instructions,KH,18/05/2009,25/05/2009,JA,,
42,Kings,Photo display in London,Create bespoke series of prints for London school - cafeteria,AG/AT,18/05/2009,15/06/2009,WMS,,
43,Kings,Summer schools flyer,Flyer to be sent to UK private schools to generate interest in hosting summer schools.,NP,27/05/2009,15/06/2009,JA,Concept developed.,
44,Kings,Iranian flyer,Translate into Persian existing promo flyer,SB,04/06/2009,11/06/2009,AG,,
45,Kings,Branded material for photoshoot,Create mock ups of branded items for use in shoot at Bournemouth and elsewhere,AG,10/06/2009,30/07/2009,WMS/JA,,
46,Kings,LTM Ad sept 09,New brand/new season launch ad,AG,10/06/2009,17/07/2009,JA,To include brochure cover thumbnails,
47,Kings,2010 Academic brochure,,AG,12/06/2009,31/08/2009,JA,At print. PDFs to be created,K/ 0047/ Acad Bro
48,Kings,2010 English brochure,,AG,12/06/2009,31/08/2009,JA,At print. PDFs to be created,K/ 0048/ Eng Bro
50,Kings,Phonecard,Design and brand a phonecard with new Kings branding and imagery,AG,18/06/2009,31/08/2009,JA,,
52,Kings,Nigeria ad,Appointments for interview ad Lagos,AH,23/06/2009,23/06/2009,JA,,
53,Prime,New website,Gut and re-do!,AG,21/09/2009,25/12/2009,JA,,
56,Kings,School League Table pdf,Create emailable doc showing position of Kings in relation to other UK independent schools,AG,01/07/2009,05/07/2009,JA,,
57,Kings,Colombia flyer,Promo for columbian market,JF,02/07/2009,02/07/2009,JA,,
58,Kings,iAE Study Abroad mag,2 x 1 page ads for Korean agency mag. ,KH,14/07/2009,31/07/2009,JA,,
59,Kings,Good ~Schools Guide ad,Chinese lang ad in local guide. Artwork and text to be supplied for translation,AH,28/06/2009,15/07/2009,JA,,
60,Kings,Columbian ad,General Kings product with special prices for Columbian market,JF,16/07/2009,31/07/2009,JA,,
61,Kings,IAE University Guidance mag,Korea publication promoting uni in UK,KH,14/07/2009,31/07/2009,JA,,
62,Kings,Welcome folder,"Create multi-purpose polyprop folder suitable for brochures, welcome packs, etc.",AH,21/09/2009,24/12/2009,JA,Sent to print,
63,Kings,IATEFL ad,quarter page ad of congrats,AG,21/09/2009,18/09/2009,JA,,
64,Kings,Saudi ad,,AH,15/08/2009,15/08/2009,JA,,
