51,Branded merchandise,"Creat range of branded materials for resale (and agent giveaways) including t-shirts, hoodies, badges, folders, pens, etc, etc",2009-9-30,0,0,2009-6-19,1
81,Branded gifts for agents,Uniquely Kings gift for sales guys to take into market,2009-10-2,0,0,2009-9-7,1
102,In-class display,"UK, World map plus phonemic chart - all branded. Plus classroom toolkit (prev 119)",2009-12-20,0,0,2009-11-9,1
211,Student handbook,pdf to email/download,2010-10-31,0,0,2010-9-17,1
287,Wall art,,,0,0,,1
291,College notice boards,Physical notice board for the colleges to display images of staff,,0,0,2011-3-29,1
338,Banners 2012,"New English, US Academic and general banners",2011-9-19,0,0,2011-9-5,1
395,Production schedule,Create bespoke job scheduler and online request form,2012-2-9,0,0,2012-1-9,1
402,Overview academic flyer,revised flyer based on overview with USA/UK academic focus only. English and Chinese,2012-1-25,0,0,2012-1-13,1
404,USA uni partner agreements,Brand and package all agreements together,,0,0,2012-1-24,1
406,USA Course Certificates,Certificates for courses in the USA,,0,0,,1
408,Website V5,To include comprehensive staff intranet,,0,0,,1
414,Academic test docs for rebrand,,,0,0,2012-2-6,1
416,Video diary (Kings Oxford),Video diary (2 weeks) of Academic student,2012-3-9,0,0,2012-2-9,1
417,Aims of the College / Vision,The aims of the College translated into many languages. Needs branding,,0,0,2012-2-9,1
418,Rebranded docs v2,A nice home for misc Word documents which need rebranding,,0,0,2012-2-9,1
420,Agent Manual 2012,Electronic and print version,2012-2-9,0,0,2012-2-9,1
422,Kings Boston wall prints/signs,"Big, striking pieces to adorn Boston walls, some decorative, some functional",,0,0,2012-2-15,1
432,International High School Price sheet,Prices for IHSP,2012-3-5,0,0,2012-3-2,1
433,China web presence,Assist John Phillips set up blog (Weibo) and China Kings site,2012-3-16,0,0,2012-3-5,1
436,Certificate of Scholarship,Certificate for Vietnam market. Based on agent cert,2012-4-20,0,0,2011-10-20,1
438,Summer materials 2012,All branded materials for summer use 2012,2012-6-15,0,0,2012-3-15,1
439,Registration signs,Door handle signs for classrooms indicating full class or missing students,2012-3-31,0,0,2012-3-15,1
440,China roadshow ad,2 x ads to advertise China Roadshow!,2012-3-22,0,0,2012-3-15,1
441,Turkey Teorem ad,,2012-3-21,0,0,2012-3-15,1
442,Malaysian roadshow ad,,2012-3-23,0,0,2012-3-16,1
443,Finance Dept Contact Sheet,"Contact sheet PDF showing just 4 finance dept people, 1 for each college",,0,0,2012-3-19,1
444,STM July 12,,2012-5-18,0,0,,1
445,STM Sept 12,,2012-7-25,0,0,,1
446,StudyAbroad guide ad,"Ad for StudyAbroad's guide, focussing on US Pathways",,0,0,2012-3-28,1
447,IELTS elements,Working with Simon Yates to create materials for Kings Oxford's IELTS team,,0,0,2012-3-15,1
448,Nigerian poster,Poster of successful Kings student(s). WMS to sort out shoot and JA to create poster,2012-4-16,0,0,2012-4-2,1
450,Phonemic Charts,,2012-9-1,0,0,2012-4-3,1
451,US Pathways comparison,Rebrand doc ,2012-4-14,0,0,2012-4-10,1
452,Vacation Plus Film Flyer,Flyer for shorter version of Vac plus film course,2012-4-12,0,0,2012-4-6,1
453,Brand repositioning,,,0,0,,1
454,Boston Homestay flyer,,,0,0,2012-4-17,1
455,US Accommodation handbook,Edit of job 100,2012-5-6,0,0,2012-4-6,1
456,Reception Student Cards,"Small cards which are given, summoning students to reception",,0,0,2012-4-18,1
457,English Brochure 2013,,,0,0,2012-4-19,1
458,English Outer 2013,,,0,0,2012-4-19,1
459,UK Academic Brochure 2013,,,0,0,2012-4-19,1
460,UK Academic Outer 2013,,,0,0,2012-4-19,1
461,USA Academic Brochure 2013-14,,,0,0,2012-4-19,1
462,USA Academic Outer 2013-14,,,0,0,2012-4-19,1
463,Summer Brochure 2013,,,0,0,2012-4-19,1
464,Pre-Masters Brochure 2013-14,,,0,0,2012-4-19,1
465,Pre-Masters Outer 2013-14,,,0,0,2012-4-19,1
466,Korea email template,,2012-4-25,0,0,2012-4-19,1
467,Agent training material,Materials to help train agents understand our courses through handout and PP templates. Web and video too?,,0,0,2012-4-20,1
468,Table-top banners,Mini banners for fairs. Translated in Chinese?,,0,0,2012-4-20,1
469,Kings London hoarding,Coverage for Kings London hoarding. Combination of painted hoarding and printed vinyl (on 4x boards) with branding and artist's impressions,2012-5-11,0,0,2012-4-25,1
470,Office signage,New signage and artwork for CMU. Supplier options? Drewett (expensive for travel) or Signmakers (expensive but good). Hmm…,2012-5-11,0,0,2012-4-25,1
471,Link Building Promo,A flyer to send to agents alerting them of the current building work in London,,0,0,2012-4-25,1
472,Kings China newsletter,,?,0,0,2012-4-26,1
473,Alumni 2012/13,Gathering content on alumni students for main brochure materials,,0,0,,1
474,Libyan Quote,Snazzy InDesign document containing details of a Libyan proposal,,0,0,2012-4-30,1
475,Malibu factsheet,Factsheet for Pepperdine,2012-5-1,0,0,2012-5-1,1
476,Nigerian marketing materials,"Posters, pdfs and general marketing material. Also, Kings News 'group' interview to be published by WMS",,0,0,2012-4-20,1
477,Osvita.ua banner ad,"6 slides, 300x250px GIF",2012-5-9,0,0,2012-5-2,1
478,Testimonial forms,"For Japan, Taiwan and Korea, based on word docs supplied by TY",2012-5-9,0,0,2012-5-2,1
479,Bournemouth Homestay Newspaper ad,70x57.5mm ad for Bournemouth Echo advertising homestay,,0,0,2012-5-3,1
